,0.0001,0.0002,0.0005,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.064,0.065,0.07,0.075,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.18,0.2,0.225,0.25,0.275,0.3
0,-2.10606,-2.08,-2.02153,-1.94785,-1.83391,-1.74107,-1.66624,-1.58761,-1.52114,-1.40192,-1.29341,-1.07331,-0.88969,-0.73382,-0.5982,-0.47889,-0.37382,-0.27953,-0.19495,-0.11881,-0.05013,0,0.01191,0.06709,0.11867,0.16443,0.24281,0.30584,0.35561,0.39377,0.42167,0.4406,0.45089,0.45391,0.44012,0.40334,0.33605,0.231,0.11009,-0.0296
0.001,-2.10606,-2.07999,-2.01943,-1.94652,-1.83387,-1.74063,-1.65671,-1.58716,-1.52073,-1.40159,-1.29612,-1.07308,-0.88967,-0.73367,-0.5983,-0.47928,-0.37376,-0.27942,-0.19484,-0.11871,-0.05004,0.00009,0.012,0.06707,0.11875,0.16451,0.24289,0.30591,0.35567,0.39383,0.42171,0.44064,0.45094,0.45396,0.44016,0.40338,0.33609,0.23104,0.11013,-0.02956
0.002,-2.08653,-2.06501,-2.01329,-1.94256,-1.83056,-1.7385,-1.65211,-1.58578,-1.51951,-1.40058,-1.29514,-1.07241,-0.88912,-0.73318,-0.59786,-0.47889,-0.37331,-0.27908,-0.19453,-0.11847,-0.04976,0.00036,0.01226,0.06832,0.1189,0.16474,0.2431,0.30611,0.35587,0.39402,0.4219,0.44062,0.4511,0.45411,0.44031,0.40352,0.33621,0.23116,0.11024,-0.02945
0.003,-2.06963,-2.05173,-2.00368,-1.93601,-1.8264,-1.73531,-1.65347,-1.58349,-1.51748,-1.39889,-1.29176,-1.07129,-0.88818,-0.73238,-0.59715,-0.47824,-0.37274,-0.27853,-0.19401,-0.11793,-0.0493,0.0008,0.0127,0.06876,0.11939,0.16513,0.24346,0.30645,0.35618,0.39432,0.42214,0.4409,0.45137,0.45437,0.44054,0.40374,0.33642,0.23136,0.11043,-0.02928
0.004,-2.05134,-2.03543,-1.99146,-1.92742,-1.82066,-1.73087,-1.65178,-1.5803,-1.51404,-1.39656,-1.29175,-1.06972,-0.88688,-0.73125,-0.59614,-0.47733,-0.3719,-0.27775,-0.19328,-0.11724,-0.04854,0.00149,0.01332,0.06953,0.11996,0.16557,0.24397,0.30683,0.35653,0.39474,0.4225,0.44129,0.45174,0.45473,0.44088,0.40405,0.33671,0.23163,0.11069,-0.02903
0.006,-2.01285,-1.99965,-1.96198,-1.90405,-1.80476,-1.71839,-1.64135,-1.57124,-1.50658,-1.38994,-1.28595,-1.06525,-0.88317,-0.72802,-0.59327,-0.47472,-0.36951,-0.27553,-0.1912,-0.11528,-0.04676,0.00321,0.01509,0.07103,0.12158,0.16763,0.24542,0.30828,0.35791,0.39596,0.42375,0.44239,0.4528,0.45574,0.44183,0.40495,0.33755,0.23242,0.11143,-0.02832
0.008,-1.97317,-1.96171,-1.92854,-1.87679,-1.78385,-1.70151,-1.62706,-1.56876,-1.49543,-1.38053,-1.27787,-1.05902,-0.87797,-0.72342,-0.58925,-0.47108,-0.36616,-0.27241,-0.18828,-0.11254,-0.0441,0.00571,0.01756,0.07339,0.12394,0.16941,0.24744,0.31018,0.3597,0.39766,0.42517,0.44394,0.45428,0.45717,0.44316,0.4062,0.33872,0.23351,0.11247,-0.02733
0.01,-1.93291,-1.92268,-1.89294,-1.84562,-1.75903,-1.68084,-1.60928,-1.54308,-1.48134,-1.3687,-1.26935,-1.05103,-0.87132,-0.71774,-0.5841,-0.4664,-0.36186,-0.26842,-0.18456,-0.10901,-0.04095,0.00892,0.02074,0.07643,0.12675,0.1722,0.25004,0.31262,0.36201,0.39984,0.4269,0.44593,0.45618,0.45899,0.44481,0.4078,0.34022,0.23483,0.11381,-0.02604
0.012,-1.89231,-1.88302,-1.85576,-1.81222,-1.73125,-1.65706,-1.58844,-1.53449,-1.46451,-1.35445,-1.25737,-1.04574,-0.8633,-0.71105,-0.57782,-0.46069,-0.3566,-0.26362,-0.17998,-0.1047,-0.03677,0.01284,0.02443,0.08013,0.13031,0.17562,0.25322,0.3156,0.36482,0.40251,0.42896,0.44836,0.45852,0.46124,0.44696,0.40977,0.34205,0.23665,0.11544,-0.02451
0.014,-1.85155,-1.84298,-1.81775,-1.77727,-1.7012,-1.63074,-1.565,-1.50333,-1.44521,-1.33793,-1.24057,-1.02994,-0.85368,-0.70239,-0.57041,-0.45397,-0.35041,-0.25779,-0.17458,-0.09962,-0.03195,0.01747,0.02921,0.08451,0.13451,0.17965,0.25698,0.31912,0.36814,0.40566,0.43299,0.45123,0.46128,0.4638,0.44943,0.41209,0.34422,0.23869,0.11737,-0.02267
0.016,-1.81054,-1.80258,-1.7791,-1.74118,-1.6694,-1.60235,-1.53637,-1.47995,-1.42368,-1.31931,-1.224,-1.01692,-0.84274,-0.69286,-0.56189,-0.44622,-0.34329,-0.24116,-0.16837,-0.09377,-0.0264,0.0228,0.03449,0.08956,0.13934,0.1843,0.2613,0.32318,0.37197,0.40929,0.43645,0.45454,0.46446,0.46696,0.45228,0.41477,0.34672,0.24104,0.1196,-0.02055
