,0.0001,0.0002,0.0005,0.0010,0.0020,0.0030,0.0040,0.0050,0.0060,0.0080,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.059,0.0600,0.0640,0.0650,0.0700,0.0750,0.0800,0.0900,0.1000,0.1100,0.1200,0.13,0.14,0.15,0.16,0.18,0.2,0.225,0.25,0.275,0.3
0.3,0.000002102,0.000004204,0.00001051,0.00002101,0.000042,0.00006295,0.00008386,0.0001047,0.0001255,0.000167,0.0002082,0.00031,0.0004096,0.0005069,0.0006015,0.0006933,0.0007822,0.0008682,0.000951,0.001031,0.001187,0.001186,0.001151,0.001251,0.001318,0.001382,0.0015,0.001606,0.0017,0.001783,0.001855,0.001917,0.001969,0.002011,0.002072,0.002102,0.002103,0.002072,0.002016,0.001941
0.32,0.000003962,0.000007923,0.0000198,0.00003959,0.0000791,0.0001185,0.0001579,0.0001971,0.0002362,0.000314,0.0003913,0.0005819,0.0007682,0.0009499,0.001126,0.001298,0.001463,0.001624,0.001778,0.001927,0.002069,0.002179,0.002206,0.002337,0.002462,0.002582,0.002804,0.003003,0.003182,0.003339,0.003477,0.003596,0.003697,0.003781,0.003904,0.003972,0.003998,0.003949,0.003859,0.003733
0.34,0.000006961,0.00001392,0.00003478,0.00006952,0.0001389,0.000208,0.000277,0.0003457,0.0004143,0.0005505,0.0006858,0.001019,0.001344,0.001661,0.001969,0.002267,0.002556,0.002835,0.003104,0.003363,0.003611,0.003803,0.00385,0.004079,0.004298,0.004507,0.004899,0.005247,0.005561,0.005841,0.006087,0.006301,0.006484,0.00664,0.006871,0.007008,0.007067,0.00702,0.006889,0.006693
0.36,0.00001153,0.00002304,0.00005758,0.0001151,0.0002298,0.0003442,0.0004582,0.0005717,0.0006849,0.0009099,0.001133,0.001682,0.002218,0.002739,0.003245,0.003736,0.004211,0.004669,0.005112,0.005538,0.005948,0.006266,0.006341,0.006718,0.00708,0.007425,0.008069,0.008652,0.009175,0.009644,0.01005,0.01042,0.01073,0.011,0.01141,0.01167,0.0118,0.01177,0.01159,0.01131
0.38,0.00001817,0.0000363,0.00009068,0.0001812,0.0003617,0.0005417,0.0007209,0.0008995,0.001077,0.001431,0.001781,0.002643,0.003483,0.004299,0.005093,0.005861,0.006605,0.007324,0.008017,0.008685,0.009328,0.009824,0.009946,0.01054,0.01111,0.01165,0.01267,0.01359,0.01442,0.01517,0.01583,0.01642,0.01693,0.01736,0.01805,0.0185,0.01877,0.01877,0.01856,0.01817
0.4,0.00002746,0.00005482,0.0001369,0.0002734,0.0005457,0.000817,0.001087,0.001356,0.001624,0.002156,0.002684,0.00398,0.005243,0.006471,0.007662,0.008817,0.009935,0.01102,0.01206,0.01306,0.01463,0.01478,0.01496,0.01586,0.01671,0.01753,0.01907,0.02047,0.02174,0.02288,0.0239,0.0248,0.02559,0.02628,0.02737,0.02811,0.0286,0.0287,0.02846,0.02796
0.42,0.00004007,0.00007988,0.0001992,0.0003978,0.0007937,0.001188,0.001581,0.001972,0.002361,0.003134,0.0039,0.00578,0.007612,0.009392,0.01112,0.01279,0.01442,0.01598,0.0175,0.01895,0.02036,0.02145,0.02171,0.02301,0.02426,0.02546,0.0277,0.02975,0.03161,0.03329,0.0348,0.03615,0.03733,0.03837,0.04003,0.0412,0.04204,0.0423,0.04209,0.04146
0.44,0.0000568,0.0001129,0.000281,0.0005698,0.001119,0.001674,0.002227,0.002777,0.003325,0.004413,0.00549,0.008135,0.01071,0.01321,0.01564,0.01799,0.02027,0.02247,0.0246,0.02666,0.02864,0.03017,0.03054,0.03238,0.03414,0.03583,0.03901,0.04192,0.04457,0.04696,0.04913,0.051,0.05278,0.05429,0.05674,0.0588,0.05985,0.06038,0.06024,0.05983
0.46,0.00007865,0.0001555,0.000386,0.0007694,0.001534,0.002294,0.003052,0.003805,0.004555,0.006044,0.007518,0.01114,0.01466,0.01808,0.0214,0.02462,0.02774,0.03075,0.03367,0.03648,0.0392,0.0413,0.04181,0.04433,0.04675,0.04908,0.05346,0.05747,0.06114,0.06447,0.06748,0.07019,0.07268,0.07475,0.07825,0.08082,0.08208,0.08382,0.08384,0.08369
0.48,0.000107,0.0002098,0.000518,0.001031,0.002053,0.00307,0.004082,0.00509,0.006092,0.008082,0.01005,0.01489,0.01959,0.02416,0.02859,0.03289,0.03706,0.04109,0.04499,0.04875,0.0523,0.0552,0.05589,0.05926,0.06251,0.06564,0.07152,0.07693,0.08189,0.0864,0.0905,0.09419,0.09751,0.1005,0.1053,0.1098,0.112,0.1138,0.1139,0.1131
0.5,0.0001437,0.0002783,0.0006818,0.001353,0.002691,0.004022,0.005347,0.006665,0.007976,0.01058,0.01315,0.01948,0.02562,0.0316,0.03739,0.04302,0.04847,0.05374,0.05885,0.06378,0.06854,0.07223,0.07314,0.07757,0.08183,0.08594,0.09369,0.1008,0.1074,0.1134,0.1188,0.1237,0.1282,0.1322,0.1388,0.1438,0.1481,0.1505,0.1513,0.1506
